CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
PLX,2024,60085476980256,15062135832746,15143605053493,12855216118567,15659105585198,1365414390252,21322766035906,0,13580512484095,105060482105,3211014742507,0,3317827064773,81408243016162,52105984221342,51289874919789,816109301553,29302258794820,29302258794820,966832515772,3921246270526,0,3286693868375,81408243016162,770301157749,0,15732152153158,708194767,2095685757823,12938780810000,12938780810000,0,488640409540,300085768492,17382978564147,0,3162525558600,263775498977,32151469546,30069469546
PLX,2023,57306926231393,14048245083619,16495622447477,10975342199058,14639913875637,1147802625602,22368692867937,0,13654716254540,115855426374,4812246891099,0,2837385225717,79675619099330,50473511920499,49660611907033,812900013466,29202107178831,29202107178831,966832515772,4194581632922,0,3262571618778,79675619099330,666633246084,0,14677544350217,766301554,1769457074318,12938780810000,12938780810000,0,646814450564,287050726278,19135323816408,0,2757122218016,263775498977,32435271703,28936190703
PLX,2022,50170189581865,11606028926698,7097643300290,12673687965547,17232373206446,1560456182884,24305425904368,0,14283783321257,120950457534,6498899053765,0,2814500438165,74475615486233,46693004842014,45694575928857,998428913157,27782610644219,27782610644219,1109578156236,2706196720866,0,3289507534688,74475615486233,663649723446,0,17301336761735,3585118433,1692508912473,12938780810000,12938780810000,0,823350989928,341639327936,13589749083158,0,2656281326739,263463634307,36121107719,30204944719
PLX,2021,41303667147167,6192497034229,11831714954279,7599775659236,13163096309698,2516583189725,23487573841953,0,14778787852659,127830043542,5290402556519,0,2677085740164,64791240989120,36531049417061,35207086754200,1323962662861,28260191572059,28260191572059,1102292936632,3473581558696,0,3136822704556,64791240989120,322062748479,0,13386774770407,9362501804,1637484894210,12938780810000,12938780810000,0,1144339382832,334005719172,14225188131645,0,2613177944031,263463839507,35779197840,26903490840
PLX,2020,37796818993084,10611737373774,8559167412875,7215635900553,9399531195899,2010747109983,23309393971359,0,15578029332150,209439120733,4093388062070,0,2666504147055,61106212964443,36979810497662,35399675141414,1580135356248,24126402466781,24126402466781,1100577568826,2760573038032,0,2963503552139,61106212964443,277779687755,0,9421770467966,21981838644,1296851347862,12938780810000,12938780810000,0,1299471916100,266362694482,14721566779651,0,2545933605531,311684424707,59144213563,30923500563
PLX,2019,38752835917822,11275206410674,5397276850139,8343572216689,11772652098200,1964128342120,23009577920137,0,15405590711585,189753274993,3886589966898,0,2514459292028,61762413837959,35839092885841,34172727078043,1666365807798,25923320952118,25923320952118,1098901628522,4851950503696,0,2887072717838,61762413837959,286675126466,0,11828763594451,22740918796,1191340602264,12938780810000,12938780810000,0,1444938387482,162293868246,13953303834187,0,2460216900717,303709219507,52215675631,23490700263
PLX,2018,34690220241011,10220835547036,4714407291361,7555938652072,10302681983396,1896356767146,21592900052658,0,15139456296266,199379225971,3117146838404,0,2243475066838,56283120293669,33190848402588,31579473703563,1611374699025,23092271891081,23092271891081,1093793763574,4390059643735,0,2747592397045,56283120293669,345559164182,0,10886562079765,22550718889,971137171719,12938780810000,12938780810000,0,1350371049841,120644200273,13357481938226,0,2233369481918,301127119507,38879930623,20644627553
PLX,2017,40526370730962,14223421508261,2505007709502,7462114111441,12867551209134,3468276192624,21242690361597,0,15270763892934,165266207789,2883912021826,0,2053940376935,61769061092559,38385075927607,35757792050085,2627283877522,23383985164952,23383985164952,1132410233797,4578569554201,0,2864655714085,61769061092559,374679687768,0,12890760772088,35051036957,951687189578,12938780810000,12938780810000,0,2406437211735,200891527721,13745080780307,0,2018235656410,315196457265,40103033030,88684537328
PLX,2016,33376137739565,11353600192147,2653613962495,6918359545312,8627059190050,3823504849561,20868296752133,0,15646073853005,256182851727,2380992710474,0,1932733667194,54244434491698,31043829442660,27941980070519,3101849372141,23200605049038,23200605049038,990113907720,5162212103107,0,3222785809457,54244434491698,454056722166,0,8643776356784,1119287698262,743691793605,12938780810000,12938780810000,0,2852388509980,526600619415,7038009632280,0,1913707367823,355674275616,50457255082,47611240582
PLX,2015,30331267024058,11288673192851,1979339742276,7060157629356,7617350306870,2385746152705,20513360948017,0,15229017706516,227672005228,2957565396228,0,1371193501057,50844627972075,34212840925007,31090324243981,3122516681026,16631787047068,16631787047068,866234135320,2822825501069,0,2881901905371,50844627972075,557578235674,0,7725140413071,897153121724,686086586574,10700000000000,10700000000000,0,2917978874291,770500310057,12758417239904,5340061378,1343739655115,348451680616,39614710204,27521499922
